Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
8116,1.01,Ideal,G,SI2,62.1,57.0,4350,6.48,6.44,4.01
52452,0.59,Ideal,E,VVS2,61.8,56.0,2515,5.39,5.42,3.34
21546,1.02,Ideal,F,VVS1,62.4,56.0,9645,6.44,6.42,4.01
9658,1.01,Premium,H,SI1,61.2,58.0,4642,6.47,6.43,3.95
36930,0.41,Ideal,G,VS1,61.5,56.0,961,4.79,4.77,2.94
44025,0.51,Ideal,E,SI1,62.1,55.0,1546,5.15,5.09,3.18
49524,0.54,Ideal,G,VVS1,61.8,55.0,2123,5.24,5.27,3.25
22203,1.35,Ideal,G,VS1,62.2,57.0,10244,7.09,7.05,4.4
47746,0.54,Ideal,D,VS2,61.8,56.0,1892,5.21,5.24,3.23
8759,0.9,Very Good,D,SI1,62.8,59.0,4466,6.12,6.18,3.86
10190,1.06,Premium,E,SI2,60.5,60.0,4737,6.67,6.61,4.02
52660,0.71,Premium,H,VS2,62.1,58.5,2549,5.68,5.73,3.55
37968,0.41,Ideal,G,VVS2,60.4,56.0,1007,4.8,4.83,2.91
52834,0.7,Premium,F,VS2,62.0,56.0,2573,5.72,5.67,3.53
15344,1.01,Very Good,F,VS2,61.7,57.0,6159,6.39,6.44,3.96
14593,1.09,Premium,G,VS2,59.9,56.0,5889,6.73,6.59,3.99
25142,1.5,Very Good,E,VS2,61.7,60.0,13710,7.29,7.34,4.51
40192,0.4,Good,G,IF,59.7,62.0,1120,4.75,4.8,2.85
49519,0.71,Ideal,H,SI2,61.5,56.0,2122,5.71,5.74,3.52
43903,0.31,Ideal,I,VVS1,62.1,54.0,511,4.34,4.39,2.71
25989,1.54,Ideal,G,VVS2,62.5,57.0,15197,7.36,7.3,4.58
36375,0.59,Premium,G,I1,59.7,59.0,940,5.48,5.45,3.26
39900,0.42,Ideal,D,VS2,61.2,56.0,1103,4.84,4.8,2.95
5043,0.4,Ideal,G,SI2,62.6,54.0,573,4.73,4.76,2.97
29208,0.37,Very Good,H,VS1,59.8,59.0,695,4.66,4.7,2.8
25179,2.0,Fair,I,SI1,65.9,60.0,13764,7.8,7.73,5.12
18227,1.1,Premium,G,VS1,58.4,60.0,7399,6.85,6.81,3.99
7605,0.92,Premium,E,SI1,60.9,59.0,4258,6.25,6.27,3.81
12071,0.94,Ideal,D,SI2,62.2,56.0,5155,6.24,6.27,3.89
25268,2.28,Ideal,G,SI2,61.6,57.0,13907,8.44,8.37,5.18
19137,1.6,Premium,J,VS1,62.6,59.0,7903,7.51,7.4,4.66
16950,1.5,Very Good,H,SI2,63.3,57.0,6770,7.27,7.21,4.59
17760,1.19,Very Good,E,VS2,59.2,60.0,7152,6.93,6.95,4.11
23585,1.24,Ideal,G,VVS2,61.1,56.0,11601,6.94,6.97,4.25
31975,0.26,Very Good,E,VS2,63.2,56.0,453,4.06,4.1,2.58
15375,0.36,Very Good,G,SI1,61.8,57.8,606,4.52,4.58,2.81
17689,1.3,Premium,D,SI2,60.2,59.0,7130,7.05,7.0,4.23
33732,0.39,Ideal,E,VS2,60.5,56.0,839,4.75,4.77,2.88
50177,0.55,Ideal,E,VS1,61.5,56.0,2220,5.26,5.29,3.24
41409,0.49,Premium,G,VS2,61.0,59.0,1225,5.13,5.06,3.11
6403,1.01,Ideal,G,SI2,61.2,57.0,4038,6.45,6.4,3.92
8366,0.9,Very Good,G,VS2,63.8,58.0,4400,6.08,6.12,3.89
10976,1.01,Good,D,SI1,64.1,60.0,4909,6.3,6.27,4.03
39940,0.24,Very Good,D,VVS1,61.9,54.0,492,3.99,4.02,2.48
9663,1.01,Premium,H,SI1,61.8,60.0,4642,6.48,6.43,3.99
47125,0.71,Fair,H,SI1,65.9,57.0,1828,5.54,5.48,3.63
30421,0.32,Ideal,G,VVS2,62.4,56.0,730,4.4,4.42,2.75
18671,1.19,Ideal,H,VS2,62.0,54.0,7633,6.79,6.83,4.22
22273,1.1,Very Good,F,VVS1,62.2,59.0,10329,6.56,6.69,4.12
11286,1.0,Very Good,E,SI2,58.7,59.0,4975,6.5,6.58,3.84
